,responce,question
137694,@154765 Our team is always expected to be courteous and respectful. Please share details in DMs.,@AmericanAir flight #2543 the rudest flight attendant. Lifetime platinum flyer. Rude first class service. What’s happening AA? Seat 3C. Bad bad bad
137696,"@154766 Yes, if your bag is gate checked we send it to the baggage claim at your final destination.",Wait so when my bag gets gate checked I have to go to baggage claim and not pick it up at the gate? Lol no wonder I never fly @AmericanAir
137698,@154766 We appreciate the feedback on how we can improve your experience.,@AmericanAir When are you going to get with the times like @116450 and put it at the destination gate?
137701,@154767 We truly want every flight you take with us to be excellent and assure you our #AATeam is prepared to take excellent care of you!,@AmericanAir Well that's unlikely especially after the response I received from your customer relations team... sorry not trying to be rude. I'm just very disappointed and dreading my flight tomorrow :(
137703,@154767 We sure don't like hearing that we've disappointed you. We want all your flights with us to be greAAt ones!,"Took my first @AmericanAir flight yesterday and am highly disappointed. Can't wait until @SouthwestAir gets flights to Columbia, SC"
137705,@154768 We love our military men and women and we're truly sorry we weren't able to confirm the upgrade this time.,@AmericanAir HE IS IN THE WOUNDED WARRIOR  BATTALION  AND IS IN CONSTANT PAIN.  HE SHOULD NOT SIT IN ECONOMY.  HE WAS DENIED THE  UPGRADE AND HE NEEDS TO PURCHASE THE UPGRADE AND SEATS ARE AVAILABLE NOW.  PLEASE CONTACT ME AS TO HOW YOU WILL BE RESOLVING THIS.
137707,@154768 This flight is operated by Japan Airlines and is airborne now. We're unable to do anything at this point.,"@AmericanAir THAT IS A TERRIBLE ANSWER, AND SOMEONE FROM AMERICAN AIRLINES NEEDS TO IMMEDIATELY LOOK AT THIS PROBLEM AND FIND A SOLUTION.  THERE ARE SEATS AVAILABLE IN BUSINESS CLASS ON THIS FLIGHT AND HE   NEEDS ONE OF THEM IMMEDIATELY  IT IS A VERY LONG FLIGHT AND HE IS IN PAIN."
137710,"@154768 We appreciate his service. We sent a request for the upgrade, but it wasn't confirmed, therefore your credit card wasn't charged.",@AmericanAir carolyn wacker phone 503-689-7384  WOUNDED WARRIERJOSE MENJIVAR   denied access to his upgraded seat  flight just left SAn Diego  for Tokyo!!  PLEASE HELP.  He is part of the wounded warriar batallion. at Camp Pendelton.and needs that upgraded seat!
137712,"@154769 We know missing a flight can be frustrating, Sarah. Please work with our airport team for the next steps.","@AmericanAir thanks for making me miss my flight! Thanks to your ineffective checking in system, I won't make it home. After four years, I won't be a American Airlines customer ever again."
137715,"@154768 Please have him work directly with our airport team, Carolyn.",@AmericanAir PLEASE SEE TO IT THAT HE DOES NOT FLY ECONOMY WHEN THERE IS A BUSINESS SEAT UPGRADE AVILABLE !  DO IT BEFORE THE PLANE TAKES OFF!!
137719,@154770 Basic Economy tickets do come with more restrictions than Main Cabin. Here's more info: https://t.co/MKvFFVWJdz,Just when you think airlines charge enough @AmericanAir CHARGES for overhead bins. What’s next.... the cabin air? #seriously #neveragain
137721,@154771 We're happy when you're happy!,Upgraded to First Class... Nice @AmericanAir
137723,@154772 We're glad to help where we can.,@AmericanAir kudos to AA for teaming up with LA Rams to served turkey and fixins at A Place Called Home in South LA.
137726,"@154768 Carolyn, please meet us in DMs so we can give you some info.",@AmericanAir This lack of specific help does not look good for American Airlines.  A Wounded Warrier in pain needs this business upgrade now.
137728,"@154768 Please give us a follow and we'll send you a direct message. This is for his privacy, so we can discuss the particulars about his trip.",@AmericanAir what is DM?  This Wounded Warrior should not have been denied Business class seating when it was available and had payment available.  American Airlines looks like it didn't care! He will be traveling with much more physical pain than necessary.
137730,"@154768 Yes, perfect! We'll respond in a direct message shortly.",@AmericanAir I clicked follow Is that what you mean?
137731,"@154773 We want you to be comfy so please check with an attendant about other possible options, like Main Cabin Extra: https://t.co/N9kHMrvr7b",@AmericanAir I'm on the PHX to EWR flight 2625. This plane is incredibly uncomfortable. Why are the seats so small?
137733,"@154774 We apologize for the delay while we awaited clearance, Eric. Thanks a lot for hanging in there with our crew.","@AmericanAir get your shit together. My plane landed 20 min early but we sat for 30 waiting for the gate and ended up later than we should have, breathing gas fumes off the tarmac for half an hour."
137735,"@154775 Beautiful! Thanks for sharing, Shane. We love the changing colors too.",Love flying over Charlotte and seeing the fall leaves🍁this time of year and I just noticed I taken a great shot of the shadow of the plane @AmericanAir https://t.co/Bi0KqLVpGT
138994,"@148344 Wow, what a pretty #AmericanView!",Landed at @150414. Thank you @AmericanAir for another terrific flight. https://t.co/oh6MOr3oz6
138996,"@155151 We know you're ready to get your bags and go. Thanks for hanging in there with us, Montero.","@AmericanAir dear American. Everyone else had upped their game with the baggage return time. American is still lagging behind, leaving us all hangin waiting for our bags .. it’s been 40 mins lol"
140447,@153030 All voucher requests are issued at the airport. Please see an agent for that request.,@AmericanAir Do I get a dinner voucher? I now land in omaha at almost 11pm? Should I ask my wife to hold dinner? You were so proud of your lunch voucher
140451,"@155556 We always want to keep you with your bags but stowage space may become full. No worries though, our team will have it returned upon arrival.",@AmericanAir Y’all need to get y’alls employees eyes checked.
140454,@155556 What's going? How can we help?,Fuck @AmericanAir worst service.
140456,@155557 We hope in the future we can make it up to you and your family. We're always striving to provide our customers with #AAmazing service.,"@AmericanAir It's not the end of the world, but it'll inform our flying purchases moving forward. Thanks for being responsive."
140463,"@155558 We're sorry for the last minute change in plans. Did you want to rebook your connection for tomorrow morning, Lauren?",Thanks to @AmericanAir we're starting our vacation sitting on a tarmac for 1.5 hours and will miss our connection. Really glad I've been counting down to today for months.
